name,path,xs(pb)
stop,/Madgraph_Simulations/SM_Backgrounds/stop,241.17
ttbar,/Madgraph_Simulations/SM_Backgrounds/ttbar/,5.046960e+02
z_jets,/Madgraph_Simulations/SM_Backgrounds/z_jets/,4.302927e+04
w_jets,/Madgraph_Simulations/SM_Backgrounds/w_jets/,1.465483e+05
ww,/Madgraph_Simulations/SM_Backgrounds/ww/,6.550736e+01
zz,/Madgraph_Simulations/SM_Backgrounds/zz/,9.562416e+00
wz,/Madgraph_Simulations/SM_Backgrounds/wz/,2.469184e+01
LQ_LQ_0250,/Madgraph_Simulations/LeptoQuarks/lq_lq/lq_lq_m_250,937.9
LQ_LQ_0500,/Madgraph_Simulations/LeptoQuarks/lq_lq/lq_lq_m_500,20.02
LQ_LQ_0750,/Madgraph_Simulations/LeptoQuarks/lq_lq/lq_lq_m_750,1.527
LQ_LQ_1000,/Madgraph_Simulations/LeptoQuarks/lq_lq/lq_lq_m_1000,0.19567
LQ_LQ_1250,/Madgraph_Simulations/LeptoQuarks/lq_lq/lq_lq_m_1250,0.0330183
LQ_LQ_1500,/Madgraph_Simulations/LeptoQuarks/lq_lq/lq_lq_m_1500,0.00654102
LQ_LQ_1750,/Madgraph_Simulations/LeptoQuarks/lq_lq/lq_lq_m_1750,0.001428408
LQ_LQ_2000,/Madgraph_Simulations/LeptoQuarks/lq_lq/lq_lq_m_2000,0.000331919
LQ_LQ_2250,/Madgraph_Simulations/LeptoQuarks/lq_lq/lq_lq_m_2250,8.02268e-05
LQ_LQ_2500,/Madgraph_Simulations/LeptoQuarks/lq_lq/lq_lq_m_2500,1.997652e-05
Tau_LQ_0250,/Madgraph_Simulations/LeptoQuarks/tau_lq/tau_lq_m_250,182.3
Tau_LQ_0500,/Madgraph_Simulations/LeptoQuarks/tau_lq/tau_lq_m_500,5.944
Tau_LQ_0750,/Madgraph_Simulations/LeptoQuarks/tau_lq/tau_lq_m_750,0.6093
Tau_LQ_1000,/Madgraph_Simulations/LeptoQuarks/tau_lq/tau_lq_m_1000,0.1029
Tau_LQ_1250,/Madgraph_Simulations/LeptoQuarks/tau_lq/tau_lq_m_1250,0.02291
Tau_LQ_1500,/Madgraph_Simulations/LeptoQuarks/tau_lq/tau_lq_m_1500,0.006099
Tau_LQ_1750,/Madgraph_Simulations/LeptoQuarks/tau_lq/tau_lq_m_1750,0.001836
Tau_LQ_2000,/Madgraph_Simulations/LeptoQuarks/tau_lq/tau_lq_m_2000,0.0006038
Tau_LQ_2250,/Madgraph_Simulations/LeptoQuarks/tau_lq/tau_lq_m_2250,0.0002119
Tau_LQ_2500,/Madgraph_Simulations/LeptoQuarks/tau_lq/tau_lq_m_2500,7.806e-05
Tau_Tau_0250,/Madgraph_Simulations/LeptoQuarks/Tau_Tau/M250_gU1_8,40.33
Tau_Tau_0500,/Madgraph_Simulations/LeptoQuarks/Tau_Tau/M500_gU1_8,4.184
Tau_Tau_0750,/Madgraph_Simulations/LeptoQuarks/Tau_Tau/M750_gU1_8,0.995
Tau_Tau_1000,/Madgraph_Simulations/LeptoQuarks/Tau_Tau/M1000_gU1_8,0.3449
Tau_Tau_1250,/Madgraph_Simulations/LeptoQuarks/Tau_Tau/M1250_gU1_8,0.147
Tau_Tau_1500,/Madgraph_Simulations/LeptoQuarks/Tau_Tau/M1500_gU1_8,0.07285
Tau_Tau_1750,/Madgraph_Simulations/LeptoQuarks/Tau_Tau/M1750_gU1_8,0.03964
Tau_Tau_2000,/Madgraph_Simulations/LeptoQuarks/Tau_Tau/M2000_gU1_8,0.02337
Tau_Tau_2250,/Madgraph_Simulations/LeptoQuarks/Tau_Tau/M2250_gU1_8,0.01466
Tau_Tau_2500,/Madgraph_Simulations/LeptoQuarks/Tau_Tau/M2500_gU1_8,0.009684
LQ_LQ_wo_RHC_1000,/Madgraph_Simulations/LeptoQuarks/lq_lq_wo_RHC/M1000_gU1_8,0.1982092
LQ_LQ_wo_RHC_1250,/Madgraph_Simulations/LeptoQuarks/lq_lq_wo_RHC/M1250_gU1_8,0.03347837
LQ_LQ_wo_RHC_1500,/Madgraph_Simulations/LeptoQuarks/lq_lq_wo_RHC/M1500_gU1_8,0.006548228
LQ_LQ_wo_RHC_1750,/Madgraph_Simulations/LeptoQuarks/lq_lq_wo_RHC/M1750_gU1_8,0.0014225013
LQ_LQ_wo_RHC_2000,/Madgraph_Simulations/LeptoQuarks/lq_lq_wo_RHC/M2000_gU1_8,0.00033068328
LQ_LQ_wo_RHC_2250,/Madgraph_Simulations/LeptoQuarks/lq_lq_wo_RHC/M2250_gU1_8,7.98781150e-05
LQ_LQ_wo_RHC_2500,/Madgraph_Simulations/LeptoQuarks/lq_lq_wo_RHC/M2500_gU1_8,1.98794990e-05
Tau_LQ_wo_RHC_1000,/Madgraph_Simulations/LeptoQuarks/tau_lq_wo_RHC/M1000_gU1_8,0.05132095
Tau_LQ_wo_RHC_1250,/Madgraph_Simulations/LeptoQuarks/tau_lq_wo_RHC/M1250_gU1_8,0.01144480
Tau_LQ_wo_RHC_1500,/Madgraph_Simulations/LeptoQuarks/tau_lq_wo_RHC/M1500_gU1_8,0.00304724
Tau_LQ_wo_RHC_1750,/Madgraph_Simulations/LeptoQuarks/tau_lq_wo_RHC/M1750_gU1_8,0.00091653
Tau_LQ_wo_RHC_2000,/Madgraph_Simulations/LeptoQuarks/tau_lq_wo_RHC/M2000_gU1_8,0.00030121
Tau_LQ_wo_RHC_2250,/Madgraph_Simulations/LeptoQuarks/tau_lq_wo_RHC/M2250_gU1_8,0.00010571
Tau_LQ_wo_RHC_2500,/Madgraph_Simulations/LeptoQuarks/tau_lq_wo_RHC/M2500_gU1_8,3.895899e-05
Tau_Tau_wo_RHC_1000,/Madgraph_Simulations/LeptoQuarks/Tau_Tau_wo_RHC/M1000_gU1_8,0.04198
Tau_Tau_wo_RHC_1250,/Madgraph_Simulations/LeptoQuarks/Tau_Tau_wo_RHC/M1250_gU1_8,0.01707
Tau_Tau_wo_RHC_1500,/Madgraph_Simulations/LeptoQuarks/Tau_Tau_wo_RHC/M1500_gU1_8,0.008189
Tau_Tau_wo_RHC_1750,/Madgraph_Simulations/LeptoQuarks/Tau_Tau_wo_RHC/M1750_gU1_8,0.004485
Tau_Tau_wo_RHC_2000,/Madgraph_Simulations/LeptoQuarks/Tau_Tau_wo_RHC/M2000_gU1_8,0.002816
Tau_Tau_wo_RHC_2250,/Madgraph_Simulations/LeptoQuarks/Tau_Tau_wo_RHC/M2250_gU1_8,0.002013
Tau_Tau_wo_RHC_2500,/Madgraph_Simulations/LeptoQuarks/Tau_Tau_wo_RHC/M2500_gU1_8,0.001612
